"Introductory Level
AI & ML University Enrollment",,,,,,,,
Academic Year,Total,AI,ML,Stanford,Berkeley,GT,UIUC,MIT
2016,2613,2613,0,660,918,591,444,384
2015,2315,2315,0,558,1030,397,330,332
2014,2042,2042,0,375,1032,322,313,272
2013,1511,1511,0,216,792,197,306,300
2012,,1241,,186,681,168,206,269
2011,,931,,195,487,121,128,277
2010,,848,,177,412,99,160,269
2009,,670,,144,318,82,126,170
2008,,615,,138,315,74,88,240
2007,,521,,92,230,96,103,227
2006,,455,,88,184,72,111,177
2005,,567,,116,218,122,111,268
2004,,669,,119,317,66,167,274
2003,,,,138,440,149,,322
2002,,,,103,368,115,,354
2001,,,,142,313,89,,519
2000,,,,143,247,37,,261
1999,,,,126,238,,,343
1998,,,,97,156,,,322
1997,,,,82,,,,268
1996,,,,40,,,,
1995,,,,116,,,,
1994,,,,141,,,,
1993,,,,194,,,,
1992,,,,218,,,,
1991,,,,158,,,,
1990,,,,58,,,,
